ID,名称,年代,规格,简介,图片url
1,Gold-and-silver-inlaid Bronze Ewer with Standing Birds and Geometric Patterns,"It was unearthed in 1965 in Sanlidun site, Lianshui County. There is a flying bird standing on the cover knob and three ones on the cover round and the feet of the pot. The ears are sculptured as animal faces. The whole body is inlaid with gold, silver and turquoise.",H. 63 cm,无简介,https://www.njmuseum.com/files/nb/scientific/image/2019/08/20/f4e221a1e2c7a7fa02b8d0ae9d59961e.png
2,无标题,无年代,无尺寸,无简介,无图片
3,错金银立鸟几何纹铜壶,战国（前475-前221年）,通高63厘米,1965年涟水三里墩出土。盖钮上立一飞鸟，盖周与足下均立三飞鸟，耳上作兽面，通体错银并镶嵌绿松石。,https://www.njmuseum.com/files/nb/collection/modify/2019/11/19/1574173821046WechatIMG3776.png
4,回族结婚证书,民国,长27.2，款79 厘米,木板印刷，板存南京唐子街清真寺。回汉两种文字，前为主命婚配刻词，后为清真文明结婚证书。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-7.1：216-A-1.png
5,雷波夷人人口资料一本,清,长13.9，宽11.8，厚1.2 厘米,"四川省雷波县原有土司。清代管理雷波附近各支罗夷的赋税,兵役等事物。遂将其所辖罗夷,依其所居村落名为主。编其家之男女人丁口数,以为抽丁课税之账本。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/21：1694.png
6,民国苗族牛角镰刀,民国,/1长44.5  /2长46 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2021/07/30\3：9282／1-2-A-01.jpg
7,民国苗族银头梳,民国前后,长12，宽8 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2021/07/30\3：9262-A-01.jpg
8,设色贵州省苗族生活图册,清,纵27.3，横15.3 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/7.1：5623-A-1.png
9,白族神像画,近代,长128，宽50.5 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/7.3：6566.png
10,羌巫神刀,近代,刀柄长11.7，刀片长32.5，刀片最宽处3.5，鞘长30 厘米,神刀为羌巫所用，与腰刀不同。腰刀长大，此则短小，腰刀无附件，此则于刀鞘上附有解冤骨器一串，腰刀系横插于胸前，此系带于腰际。汉巫亦用神刀，唯汉巫之刀系剑式，无刀鞘，此则为刀式，有鞘。神刀不为杀人，专为杀鬼，羌巫应人作法事，则带神刀与具，指天画地，刀旋转自如，魑魅魍魉见之，当退避三舍。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/21：1646.png
11,民国苗族银烟筒,民国前后,通长43，烟袋长12 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2021/07/30\3：9263-A-01.jpg
12,民国彝族铜寨老帽,民国,高56，径44 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2021/07/30\3：9281-A-01.jpg
