名称,年代,规格,简介,图片url
-【宋】木经箱-,宋,长 32.7 厘米 宽14.7厘米 高14厘米,"1978年在瑞光寺塔第三层塔心的天宫中发现。木质，平面长方形，盝顶。系由十四块小板材榫接而成,外表髹红褐色漆，无纹饰。",https://file.szmuseum.com/WaterMark/文章管理缩略图/202102051618455X6gD0.jpg
-【宋】琥珀印章-,宋,高1.8厘米,1978 年在瑞光寺塔第三层塔心的天宫中发现。龟纽，篆体“与贞私印”四字。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205161434eGl4HT.jpg
-【宋】铁铸金涂舍利塔-,宋,塔座边长11厘米 通高11.8厘米,1956年在苏州虎丘云岩寺塔第三层发现。分塔刹相轮、塔身、塔座三部分，其中顶部相轮已朽。塔身翘角多毁坏。塔身中空，内置高2.9厘米、腹径7厘米的金铸小瓶，瓶口有盖，口中塞着纸圈，瓶中盛细砂粒大小的舍利子。该金瓶现藏虎丘塔中。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205153603qC3F3r.jpg
-【宋】陶碗形香炉-,宋,口径14.5厘米 底径8.2厘米 高11.7厘米,1956年在苏州虎丘云岩寺塔第三层发现。炉中竖立檀香木1根，长29.7厘米，直径1.1厘米。,https://file.szmuseum.com/WaterMark/文章管理缩略图/202102051551411KaeEn.jpg
-【晚唐～五代】檀香木雕三连式佛龛（檀龛宝相）-,晚唐~五代,宽6.3厘米 通高19.3厘米,"1956年在苏州虎丘云岩寺塔第三层发现。檀香木质，枯朽较甚，原涂色彩已褪，残留描金痕迹。下为束腰须弥式莲座,上承三连式佛龛,分为主龛和扉龛,半圆形的主龛与莲座通体相连，三角形的扉龛与主龛的边缘，上下各钻有小孔，穿绳系结，玲珑剔透，可启可合。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205154619bDYt3y.jpg
-【宋】石造像龛-,宋,高24厘米,"1956年在苏州虎丘云岩寺塔第四层发现。石龛右侧残损，龛内浮雕佛像一尊,结跏趺坐于仰莲座上。龛左侧边框上阴刻有“李太缘为自身造佛一躯”的题记。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205154901NFHwGD.jpg
-【宋】铜观音坐像（2尊）-,宋,高40.5 厘米 43.5 厘米,1978 年瑞光寺塔第三层塔心的天宫中发现。两尊皆趺坐于束腰莲花台座上。身后有火焰纹饰的背光和头光，外围火焰纹的上方有江牙纹饰顶着的一轮太阳，意为“旭日东升”。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205160153QGjOGI.jpg
-【宋】铁莲瓣形佛龛-,宋,宽11.5厘米高17厘米,1956 年在苏州虎丘云岩寺塔第三层发现。铁质，模铸而成，龛呈内凹莲瓣形，顶部及底座铸须弥宝山纹样，龛内铸佛像一铺，姿态优美，人物众多。但因锈蚀，图案、形象均比较模糊。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205154156QD8lOA.jpg
-【宋】小玉幢-,宋,底径1.4 厘米 高2.8厘米,"1956年在苏州虎丘云岩寺塔第三层发现。玉质不甚佳,微泛黄，推测原置于小木塔壸门之内。",https://file.szmuseum.com/WaterMark/文章管理缩略图/202102051538412xbLV0.jpg
-【宋】小木塔-,宋,高10.3厘米,"1978 年在瑞光寺塔第三层塔心的天宫中发现。木质，喇嘛塔造型，由塔座、塔身和塔刹三部分组成。塔座底部呈覆钵形,涂红漆,上部涂绿漆。红色塔身设一壸门。塔刹相轮七重,其中第四相轮为红色，其余为绿色，刹顶呈红色宝珠状。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205161217cOetWZ.jpg
